"","seg","x","y","z","a","g","h"
"1",1,0.0166108812311787,0,0,0,1.0299,1.0233
"2",2,0.01557270115423,0,0.00164555112515567,0.000822775562577833,1.0299,1.0233
"3",3,0.0145345210772813,0,0.00155116634016998,0.000775583170084992,1.0299,1.0233
"4",4,0.0134963410003327,0,0.00156323735316825,0.000781618676584127,1.0299,1.0233
"5",5,0.012458160923384,0,0.00162987035138107,0.000814935175690533,1.0299,1.0233
"6",6,0.0114199808464353,0,0.00177211271682897,0.000886056358414487,1.0299,1.0233
"7",7,0.0103818007694867,0,0.00195659944841611,0.000978299724208053,1.0299,1.0233
"8",8,0.009343620692538,0,0.00212695377686047,0.00106347688843024,1.0299,1.0233
"9",9,0.00830544061558933,0,0.00219976006790716,0.00109988003395358,1.0299,1.0233
"10",10,0.00726726053864067,0,0.00229437111252296,0.00114718555626148,1.0299,1.0233
"11",11,0.006229080461692,0,0.00236316007063239,0.00118158003531619,1.0299,1.0233
"12",12,0.00519090038474333,0,0.00242029020274964,0.00121014510137482,1.0299,1.0233
"13",13,0.00415272030779467,0,0.00256337961167189,0.00128168980583594,1.0299,1.0233
"14",14,0.003114540230846,0,0.00265564956615521,0.0013278247830776,1.0299,1.0233
"15",15,0.00207636015389733,0,0.00274712526204566,0.00137356263102283,1.0299,1.0233
"16",16,0.00103818007694867,0,0.00279899441524605,0.00139949720762303,1.0299,1.0233
"17",17,0,0,0.00247574776939185,0.00123787388469593,1.0299,1.0233
