"","seg","x","y","z","a","g","h"
"1",1,0.0188501746089513,0,0,0,1.0299,1.0233
"2",2,0.0176720386958918,0,0.00189896376759826,0.00094948188379913,1.0299,1.0233
"3",3,0.0164939027828324,0,0.00179084159516893,0.000895420797584463,1.0299,1.0233
"4",4,0.0153157668697729,0,0.00185728080957588,0.000928640404787938,1.0299,1.0233
"5",5,0.0141376309567135,0,0.00197056398978195,0.000985281994890974,1.0299,1.0233
"6",6,0.012959495043654,0,0.00212875427513431,0.00106437713756715,1.0299,1.0233
"7",7,0.0117813591305945,0,0.00234762462916909,0.00117381231458455,1.0299,1.0233
"8",8,0.0106032232175351,0,0.00253214310508353,0.00126607155254176,1.0299,1.0233
"9",9,0.00942508730447564,0,0.00269094998129058,0.00134547499064529,1.0299,1.0233
"10",10,0.00824695139141619,0,0.00279452158897033,0.00139726079448516,1.0299,1.0233
"11",11,0.00706881547835673,0,0.00292290677365062,0.00146145338682531,1.0299,1.0233
"12",12,0.00589067956529728,0,0.00312200132522928,0.00156100066261464,1.0299,1.0233
"13",13,0.00471254365223782,0,0.00327036239137532,0.00163518119568766,1.0299,1.0233
"14",14,0.00353440773917837,0,0.00337848023166486,0.00168924011583243,1.0299,1.0233
"15",15,0.00235627182611891,0,0.00344398842887641,0.0017219942144382,1.0299,1.0233
"16",16,0.00117813591305946,0,0.00349374031215739,0.0017468701560787,1.0299,1.0233
"17",17,0,0,0.00312614345454923,0.00156307172727461,1.0299,1.0233
