"case","frequency_hz","frequency_khz","ka","f_bs_real","f_bs_imag","sigma_bs","TS"
"straight",12000,12,0.0510378553348372,-8.27770081359764e-07,9.50758341006115e-11,6.85203316633765e-13,-121.641805435579
"straight",14000,14,0.0595441645573101,-1.12607403374451e-06,1.76016750400138e-10,1.26804276045553e-12,-118.968661010941
"straight",16000,16,0.068050473779783,-1.46987353928522e-06,3.00039429852213e-10,2.16052831151452e-12,-116.654400383303
"straight",18000,18,0.0765567830022558,-1.85900203735317e-06,4.80181743415234e-10,3.45588880545776e-12,-114.614402395592
"straight",20000,20,0.0850630922247287,-2.29327217809947e-06,7.31163059948799e-10,5.25909781744449e-12,-112.790887513806
"straight",22000,22,0.0935694014472016,-2.77247603554553e-06,1.06936432158613e-09,7.68662451121432e-12,-111.142643335386
"straight",24000,24,0.102075710669674,-3.29638531426526e-06,1.51280626032984e-09,1.08661584286865e-11,-109.639239672387
"straight",26000,26,0.110582019892147,-3.8647515522198e-06,2.08112582174597e-09,1.493630889147e-11,-108.257567135061
"straight",28000,28,0.11908832911462,-4.47730632159796e-06,2.79555085889858e-09,2.00462797125257e-11,-106.979662140781
"straight",30000,30,0.127594638337093,-5.13376142903903e-06,3.6788731574189e-09,2.63555199443966e-11,-105.791284115585
"straight",32000,32,0.136100947559566,-5.83380911628271e-06,4.75541985069587e-09,3.40333514192412e-11,-104.680952818411
"straight",34000,34,0.144607256782039,-6.57712226205294e-06,6.05102328250867e-09,4.32585738648752e-11,-103.639278023455
"straight",36000,36,0.153113566004512,-7.3633545858063e-06,7.59298937292558e-09,5.42190484098023e-11,-102.658481089244
"straight",38000,38,0.161619875226985,-8.19214085384373e-06,9.4100645419197e-09,6.71112603185301e-11,-101.73204605257
"straight",40000,40,0.170126184449457,-9.06309708818314e-06,1.15324012438692e-08,8.21398618261122e-11,-100.854460320425
"straight",42000,42,0.17863249367193,-9.97582077851032e-06,1.39915221648814e-08,9.95171959676508e-11,-100.021018693186
"straight",44000,44,0.187138802894403,-1.09298910974647e-05,1.68202831337018e-08,1.19462802324363e-10,-99.227673019133
"straight",46000,46,0.195645112116876,-1.19248691194641e-05,2.0052834795817e-08,1.42202905632531e-10,-98.4709152957473
"straight",48000,48,0.204151421339349,-1.29602980432331e-05,2.37245830992321e-08,1.67969888225274e-10,-97.7476856678436
"straight",50000,50,0.212657730561822,-1.40357034181666e-05,2.78721486392786e-08,1.97001747299402e-10,-97.0552992186316
"straight",52000,52,0.221164039784295,-1.51505933746297e-05,3.25333249087205e-08,2.29541538020603e-10,-96.3913871273763
"straight",54000,54,0.229670349006768,-1.63044588582751e-05,3.77470354983002e-08,2.65836803499873e-10,-95.7538489378288
"straight",56000,56,0.23817665822924,-1.74967738684359e-05,4.35532902918001e-08,3.06138992692275e-10,-95.1408135111946
"straight",58000,58,0.246682967451713,-1.8726995700638e-05,4.99931406985885e-08,3.50702867285833e-10,-94.550606833876
"straight",60000,60,0.255189276674186,-1.99945651932593e-05,5.71086339655471e-08,3.9978589866357e-10,-93.9817252847854
"straight",62000,62,0.263695585896659,-2.12989069783502e-05,6.49427666092002e-08,4.53647656035352e-10,-93.432813287491
"straight",64000,64,0.272201895119132,-2.26394297366223e-05,7.35394370078112e-08,5.12549186848253e-10,-92.9026445114682
