frequency,ka,acousticTS,echoSMs,sphereTS,noaa_applet
1000.0,0.0810225953440541,-80.2326022528742,-80.23260225285766,-80.23260225287368,-80.2326022528686
2000.0,0.162045190688108,-68.283410714827,-68.2834107148267,-68.28341071482635,-68.283410714827
3000.0,0.243067786032162,-61.3931949572824,-61.393194957280656,-61.39319495728231,-61.39319495728169
4000.0,0.324090381376216,-56.6109701134043,-56.610970113403276,-56.610970113404406,-56.61097011340392
5000.0,0.405112976720271,-53.0130004802238,-53.01300048022301,-53.0130004802238,-53.013000480223546
6000.0,0.486135572064325,-50.1896319838327,-50.18963198383227,-50.18963198383279,-50.18963198383255
7000.0,0.567158167408379,-47.9248477842501,-47.92484778424996,-47.92484778425062,-47.924847784250055
8000.0,0.648180762752433,-46.0927634275135,-46.092763427513376,-46.092763427513496,-46.09276342751345
9000.0,0.729203358096487,-44.6155703372115,-44.615570337211274,-44.615570337211466,-44.61557033721142
10000.0,0.810225953440541,-43.4436221910894,-43.44362219108931,-43.443622191089155,-43.44362219108933
11000.0,0.891248548784595,-42.5448740669394,-42.544874066939336,-42.54487406693858,-42.54487406693934
12000.0,0.972271144128649,-41.8987762532203,-41.89877625322025,-41.89877625321764,-41.898776253220305
13000.0,1.0532937394727,-41.492497909476,-41.492497909475894,-41.49249790947604,-41.49249790947596
14000.0,1.13431633481676,-41.3183883348969,-41.318388334896824,-41.318388334896994,-41.31838833489687
15000.0,1.21533893016081,-41.371854712965,-41.37185471296491,-41.371854712965416,-41.37185471296497
16000.0,1.29636152550487,-41.6485824474562,-41.64858244745605,-41.64858244745759,-41.64858244745611
17000.0,1.37738412084892,-42.1391207054507,-42.13912070545058,-42.13912070545517,-42.139120705450644
18000.0,1.45840671619297,-42.8169541029388,-42.81695410293871,-42.816954102938695,-42.81695410293875
19000.0,1.53942931153703,-43.6137581382696,-43.61375813826949,-43.613758138269326,-43.61375813826953
20000.0,1.62045190688108,-44.3796725247026,-44.37967252470253,-44.37967252470194,-44.379672524702556
21000.0,1.70147450222514,-44.8632052342837,-44.86320523428365,-44.86320523428233,-44.863205234283654
22000.0,1.78249709756919,-44.8147242834861,-44.81472428348611,-44.81472428348414,-44.814724283486115
23000.0,1.86351969291324,-44.2076933576225,-44.20769335762253,-44.20769335762253,-44.20769335762253
24000.0,1.9445422882573,-43.2682122971665,-43.26821229716651,-43.26821229716646,-43.26821229716649
25000.0,2.02556488360135,-42.261328197662,-42.26132819766195,-42.26132819766182,-42.26132819766195
26000.0,2.10658747894541,-41.3554125880507,-41.355412588050704,-41.35541258805033,-41.355412588050704
27000.0,2.18761007428946,-40.628313758996,-40.62831375899602,-40.628313758995034,-40.62831375899603
28000.0,2.26863266963351,-40.1079453577197,-40.10794535771977,-40.107945357717426,-40.10794535771975
