"frequency_hz","frequency_khz","ka","f_bs_real","f_bs_imag","sigma_bs","TS"
12000,12,0.255189276674186,-0.00116693841049628,1.40006236627617e-05,1.36194127135453e-06,-58.6584161935169
14000,14,0.29772082278655,-0.00155645653863969,2.48097466354481e-05,2.42317248020237e-06,-56.1561567189876
16000,16,0.340252368898915,-0.00198589313113049,4.06115088919058e-05,3.94542082292573e-06,-54.0390666765674
18000,18,0.382783915011279,-0.00244721398677672,6.27008374664638e-05,5.99278769209459e-06,-52.223711078842
20000,20,0.425315461123644,-0.00293159293054738,9.26161459027837e-05,8.60281486091724e-06,-50.6535942334446
22000,22,0.467847007236008,-0.0034295481560901,0.000132200943615316,1.17792776444338e-05,-49.2888134152306
24000,24,0.510378553348372,-0.00393111524712184,0.000183649230088633,1.5487394125866e-05,-48.1002164950753
26000,26,0.552910099460737,-0.00442604793992622,0.000249522671643347,1.96521619301891e-05,-47.0658966601605
28000,28,0.595441645573101,-0.00490403331589697,0.000332732230007678,2.41602535003133e-05,-46.1689851321276
30000,30,0.637973191685465,-0.00535490621843242,0.000436482960439622,2.88655379829603e-05,-45.39620343904
32000,32,0.68050473779783,-0.00576884866718382,0.000564186877566823,3.35979217776871e-05,-44.7368758536005
34000,34,0.723036283910194,-0.00613656363877066,0.000719353775359812,3.81748831468067e-05,-44.1822228364351
36000,36,0.765567830022558,-0.00644941793090805,0.000905472643401224,4.24148723554662e-05,-43.7248183563862
38000,38,0.808099376134923,-0.00669955469281268,0.0011258963592702,4.61516756938063e-05,-43.3581252581116
40000,40,0.850630922247287,-0.00687998132660358,0.00138373980714971,4.92488789083047e-05,-43.0760365124715
42000,42,0.893162468359652,-0.00698464185376657,0.00168179714858916,5.16136634743903e-05,-42.8723531414752
44000,44,0.935694014472016,-0.00700848395016839,0.00202247861482272,5.32092670271832e-05,-42.7401272356433
46000,46,0.97822556058438,-0.00694752958717668,0.00240776191043481,5.40654847820361e-05,-42.6707989852363
48000,48,1.02075710669674,-0.00679895483634459,0.00283914900587558,5.42865539442178e-05,-42.6530772604576
50000,50,1.06328865280911,-0.00656117939851761,0.00331761645898538,5.40556540684626e-05,-42.6715887336084
52000,52,1.10582019892147,-0.00623396046308547,0.00384354697405493,5.36351163970796e-05,-42.7055077254965
54000,54,1.14835174503384,-0.0058184793998912,0.00441663204503992,5.33613411482318e-05,-42.7277326368752
56000,56,1.1908832911462,-0.00531740452951431,0.00503574038511457,5.36334721567731e-05,-42.70564086503
58000,58,1.23341483725857,-0.00473490998478843,0.00569875421164806,5.48951721288256e-05,-42.6046584881052
60000,60,1.27594638337093,-0.00407663070758697,0.00640238458037698,5.76094462410899e-05,-42.3950629931947
62000,62,1.3184779294833,-0.00334953792518133,0.00714198639641395,6.22273739987901e-05,-42.0601852589803
64000,64,1.36100947559566,-0.00256172834034786,0.00791140137598305,6.91527238216479e-05,-41.6019070901217
66000,66,1.40354102170802,-0.00172213292922488,0.00870286071702999,7.87055264859445e-05,-41.039947716043
68000,68,1.44607256782039,-0.000840165498321841,0.0095069766112957,9.10884823522939e-05,-40.4053653375226
70000,70,1.48860411393275,7.4656240175975e-05,0.0103128423208774,0.000106360290289478,-39.7322048601755
72000,72,1.53113566004512,0.00101307683318253,0.0111082455642546,0.000124419444185713,-39.0511174309636
74000,74,1.57366720615748,0.00196641640535656,0.0118799825058548,0.000145000777818673,-38.3862966809984
76000,76,1.61619875226985,0.0029267993473871,0.0126142438947175,0.000167685303455283,-37.755049988606
78000,78,1.65873029838221,0.0038872811822902,0.0132970347525621,0.000191922088201032,-37.1687503968981
80000,80,1.70126184449457,0.00484187364295734,0.0139145867631503,0.000217059465163603,-36.6342127143
82000,82,1.74379339060694,0.00578548365097361,0.0144537281430846,0.000242382078309878,-36.1549949497962
84000,84,1.7863249367193,0.0067137926136101,0.0149021871512988,0.000267150193150901,-35.7324450748392
86000,86,1.82885648283167,0.00762310663681593,0.0152488192230336,0.000290638242493026,-35.3664724134232
88000,88,1.87138802894403,0.00851020616060033,0.0154837606987871,0.000312170454273224,-35.0560820362245
90000,90,1.9139195750564,0.00937221681542004,0.0155985218677472,0.000331152332493829,-34.7997218162379
92000,92,1.95645112116876,0.0102065142162776,0.0155860374404653,0.000347097495542664,-34.5954851993828
94000,94,1.99898266728112,0.0110106660730495,0.0154406936394596,0.000359649787439853,-34.4412019203976
96000,96,2.04151421339349,0.0117824069802018,0.0151583486360847,0.000368600647620198,-34.33443906074
98000,98,2.08404575950585,0.0125196354951312,0.0147363581830452,0.000373901525429953,-34.2724276302321
1e+05,100,2.12657730561822,0.013220420020947,0.0141736121361877,0.000375670786517344,-34.2519257589111
102000,102,2.16910885173058,0.013882999599581,0.0134705811542852,0.000374194234516151,-34.2690290827671
104000,104,2.21164039784295,0.0145057677660037,0.0126293671007631,0.000369918211847069,-34.3189428693281
106000,106,2.25417194395531,0.0150872316820157,0.0116537463110573,0.000363434362909302,-34.3957401231596
108000,108,2.29670349006768,0.0156259442171762,0.0105491925557567,0.000355455596256733,-34.4921464389379
110000,110,2.33923503618004,0.0161204126200121,0.00932286662586106,0.000346783545163038,-34.5994151792718
112000,112,2.3817665822924,0.0165689929129134,0.00798356205877411,0.000338268789294474,-34.707380709749
114000,114,2.42429812840477,0.0169697831281873,0.0065416012421857,0.000330766086229476,-34.8047902547511
116000,116,2.46682967451713,0.0173205301707085,0.00500868216079033,0.000325087662382243,-34.879995123894
118000,118,2.5093612206295,0.0176185640696253,0.00339768224707792,0.0003219580445276,-34.9220071904119
120000,120,2.55189276674186,0.0178607698648697,0.00172243094617141,0.000321973868530167,-34.9217937430937
122000,122,2.59442431285423,0.0180436021156465,-2.53428272652701e-06,0.000325571583730353,-34.8735350786041
124000,124,2.63695585896659,0.0181631411327593,-0.0017622132380877,0.000333005091305024,-34.7754912652739
126000,126,2.67948740507895,0.0182151847177823,-0.00354137612633362,0.000344334299171096,-34.6301971502747
128000,128,2.72201895119132,0.0181953653989928,-0.00532477494722483,0.000359424550241457,-34.4439226203435
130000,130,2.76455049730368,0.0180992814178354,-0.00709732815029634,0.000377956054714991,-34.2255869303121
132000,132,2.80708204341605,0.0179226300761652,-0.00884427821932585,0.000399441926067904,-33.9854635282455
134000,134,2.84961358952841,0.0176613341258384,-0.0105513255877494,0.000423253194763198,-33.7339975510257
136000,136,2.89214513564078,0.0173116550377014,-0.0122047446474236,0.000448649192053188,-33.4809311000853
138000,138,2.93467668175314,0.0168702905208066,-0.0137914884118264,0.000474811854869957,-33.2347844633006
140000,140,2.9772082278655,0.0163344569355043,-0.0152992877472462,0.000500882688950883,-33.0026397773956
142000,142,3.01973977397787,0.0157019597676248,-0.0167167493087675,0.000526001247996288,-32.7901322543322
144000,144,3.06227132009023,0.0149712567999342,-0.0180334538423593,0.00054934398765408,-32.6015562429818
146000,146,3.1048028662026,0.0141415189081918,-0.0192400538118671,0.000570162227714287,-32.4400155735034
148000,148,3.14733441231496,0.0132126925669681,-0.0203283668399057,0.000587817743246993,-32.3075730890995
150000,150,3.18986595842733,0.0121855663700872,-0.0212914596195767,0.000601814280491867,-32.2053751107046
152000,152,3.23239750453969,0.0110618414772443,-0.0221237160683689,0.000611823149541488,-32.1337409464797
154000,154,3.27492905065206,0.00984420331453796,-0.0228208837261501,0.000617701072940421,-32.0922164429659
156000,156,3.31746059676442,0.0085363895493149,-0.0233800937390916,0.000619498729786363,-32.0795957975981
158000,158,3.35999214287678,0.00714324776609887,-0.0237998520210515,0.000617458944871825,-32.0939191354744
160000,160,3.40252368898915,0.00567077571327355,-0.0240800019701398,0.000612004192072191,-32.1324560303812
162000,162,3.44505523510151,0.0041261376045387,-0.024221661955927,0.000603713919438791,-32.1916881078597
164000,164,3.48758678121388,0.00251765165112476,-0.0242271431817012,0.000593293036583063,-32.2673074890053
166000,166,3.53011832732624,0.000854746481477203,-0.0240998550585893,0.000581533605392611,-32.3542518340351
168000,168,3.57264987343861,-0.000852113119261905,-0.0238442056779712,0.000569272241181412,-32.4467999271341
170000,170,3.61518141955097,-0.00259152804177451,-0.0234655043342648,0.000557345911252705,-32.5387518055326
172000,172,3.65771296566333,-0.00435128912090788,-0.0229698715423593,0.00054654871568622,-32.6237112189216
174000,174,3.7002445117757,-0.006118517475255,-0.0223641599718934,0.000537591907343442,-32.6954727757056
176000,176,3.74277605788806,-0.00787981427399546,-0.0216558876014831,0.000531068940800733,-32.7484909725021
178000,178,3.78530760400043,-0.00962141381946527,-0.0208531825644867,0.00052742682695321,-32.7783778409617
180000,180,3.82783915011279,-0.0113293349377489,-0.019964737897067,0.000526944589430282,-32.7823505038493
182000,182,3.87037069622516,-0.012989527019447,-0.0189997738547078,0.000529719218718984,-32.7595427016013
184000,184,3.91290224233752,-0.0145880083085495,-0.0179680056383424,0.000535659213029813,-32.7111142107246
186000,186,3.95543378844989,-0.0161109948917994,-0.0168796151446397,0.000544485563834737,-32.6401363038025
188000,188,3.99796533456225,-0.0175450190498964,-0.015745226508857,0.00055573985127644,-32.5512845948796
190000,190,4.04049688067461,-0.018877035027832,-0.0145758864562667,0.000568798917427974,-32.4504123885267
192000,192,4.08302842678698,-0.020094508774883,-0.0133830514848365,0.000582895349949636,-32.3440940925298
194000,194,4.12555997289934,-0.0211854857773794,-0.0121785842938799,0.000597142723026682,-32.2392185578024
196000,196,4.16809151901171,-0.0221386278049215,-0.0109747612295939,0.000610564225131439,-32.142686459646
198000,198,4.21062306512407,-0.0229432053210775,-0.00978429033549958,0.000622123007774471,-32.0612373698763
2e+05,200,4.25315461123644,-0.0235890276662726,-0.00862033521565195,0.000630752405470381,-32.0014108455907
