"frequency_hz","frequency_khz","ka","f_bs_real","f_bs_imag","sigma_bs","TS"
12000,12,0.0502654824574367,-6.14715583277178e-07,7.35494811117304e-11,3.77875253733327e-13,-124.226515481967
14000,14,0.0586430628670095,-8.13127310147274e-07,1.14888524879647e-10,6.61176035706714e-13,-121.796828957977
16000,16,0.0670206432765822,-1.02717583552715e-06,1.68254224773763e-10,1.05509022540038e-12,-119.767104003492
18000,18,0.075398223686155,-1.25105901127954e-06,2.34408782855813e-10,1.56514870465121e-12,-118.054443938738
20000,20,0.0837758040957278,-1.47856992215907e-06,3.13769115912557e-10,2.18616911316454e-12,-116.603162458294
22000,22,0.0921533845053006,-1.70322092943899e-06,4.06385836469244e-10,2.90096169962847e-12,-115.37458004996
24000,24,0.100530964914873,-1.91837433739816e-06,5.11929225061955e-10,3.68016036045934e-12,-114.341332568305
26000,26,0.108908545324446,-2.11737734719652e-06,6.29682535758348e-10,4.48328722692108e-12,-113.484034366705
28000,28,0.117286125734019,-2.29369887588308e-06,7.58542855790883e-10,5.26105510861457e-12,-112.789271490217
30000,30,0.125663706143592,-2.44106577242382e-06,8.97029614579963e-10,5.95880290996124e-12,-112.248409788195
32000,32,0.134041286553164,-2.55359595859851e-06,1.04330070926489e-09,6.52085340824701e-12,-111.856955628205
34000,34,0.142418866962737,-2.62592606060034e-06,1.19517608509072e-09,6.89548910418591e-12,-111.61434923438
36000,36,0.15079644737231,-2.65333117669979e-06,1.35016848156933e-09,7.04016815620201e-12,-111.524169675002
38000,38,0.159174027781883,-2.63183454623927e-06,1.50552093122769e-09,6.92655534537174e-12,-111.59482691279
40000,40,0.167551608191456,-2.55830504367962e-06,1.65825047889082e-09,6.54492744631123e-12,-111.840951634511
42000,42,0.175929188601028,-2.43054061595638e-06,1.8051974776958e-09,5.90753094455156e-12,-112.285939947886
44000,44,0.184306769010601,-2.24733600895913e-06,1.94307971518639e-09,5.05052291272315e-12,-112.966636542866
46000,46,0.192684349420174,-2.00853338590351e-06,2.06855053053645e-09,4.03421064119033e-12,-113.942414293959
48000,48,0.201061929829747,-1.71505472261303e-06,2.17826000375912e-09,2.94141744637391e-12,-115.314433359855
50000,50,0.20943951023932,-1.36891516772539e-06,2.26891823099447e-09,1.87393388441857e-12,-117.272457358275
52000,52,0.217817090648892,-9.7321687468731e-07,2.33735964786752e-09,9.47156548426259e-13,-120.235782337752
54000,54,0.226194671058465,-5.32123141924485e-07,2.38060732637334e-09,2.83160705462828e-13,-125.479670143463
56000,56,0.234572251468038,-5.08130323918117e-08,2.39593615063795e-09,2.58770477088923e-15,-145.870852734776
58000,58,0.242949831877611,4.64583021663741e-07,2.38093377362675e-09,2.15843052863847e-13,-126.658619250084
60000,60,0.251327412287183,1.00706579397348e-06,2.33355827082828e-09,1.01418695888563e-12,-119.938819782098
62000,62,0.259704992696756,1.56886686702703e-06,2.25219143807545e-09,2.46134831882149e-12,-116.088269225679
64000,64,0.268082573106329,2.14156380851828e-06,2.13568672881629e-09,4.58630010711314e-12,-113.385375303739
66000,66,0.276460153515902,2.71620918779929e-06,1.98341089081197e-09,7.37779628580406e-12,-111.320733405937
68000,68,0.284837733925475,3.28347144511476e-06,1.79527844270892e-09,1.07811879539087e-11,-109.673333826185
70000,70,0.293215314335047,3.83378540340357e-06,1.57177822624236e-09,1.4697912989837e-11,-108.327443279283
72000,72,0.30159289474462,4.35751002392216e-06,1.31399137878319e-09,1.89878953351554e-11,-107.215231708598
74000,74,0.309970475154193,4.84509085620453e-06,1.02360019211069e-09,2.34749064526341e-11,-106.293961297194
76000,76,0.318348055563766,5.28722452267196e-06,7.02887455088371e-10,2.79547436471946e-11,-105.535444859887
78000,78,0.326725635973339,5.67502251065388e-06,3.54726018503041e-10,3.22058806222589e-11,-104.920648212043
80000,80,0.335103216382911,6.00017152111683e-06,-1.7441532189559e-11,3.60020582831257e-11,-104.436726693591
82000,82,0.343480796792484,6.25508764475812e-06,-4.09633058317352e-10,3.91261216114049e-11,-104.075331995372
84000,84,0.351858377202057,6.43306170232678e-06,-8.17366710905924e-10,4.13842835340319e-11,-103.831645591291
86000,86,0.36023595761163,6.52839319638799e-06,-1.23571008728588e-09,4.26199192536244e-11,-103.703873774219
88000,88,0.368613538021202,6.5365104748374e-06,-1.65933820057122e-09,4.27259719410623e-11,-103.693080490557
90000,90,0.376991118430775,6.4540749001931e-06,-2.08259961244289e-09,4.16550871545237e-11,-103.803319525231
92000,92,0.385368698840348,6.27906705027412e-06,-2.49958993768799e-09,3.94266892697879e-11,-104.042096898867
94000,94,0.393746279249921,6.01085324192054e-06,-2.90423179569023e-09,3.6130365130469e-11,-104.421276494658
96000,96,0.402123859659494,5.6502309659503e-06,-3.29036016209669e-09,3.19251207950536e-11,-104.958674508218
98000,98,0.410501440069066,5.19945214409571e-06,-3.65181196475667e-09,2.70343159344721e-11,-105.680846151634
1e+05,100,0.418879020478639,4.66222346228626e-06,-3.98251867413573e-09,2.17363434727475e-11,-106.628135119135
102000,102,0.427256600888212,4.04368339403667e-06,-4.27660056101866e-09,1.63513936805203e-11,-107.864452251466
104000,104,0.435634181297785,3.35035589726533e-06,-4.52846123519605e-09,1.12249051453018e-11,-109.498173202619
106000,106,0.444011761707357,2.590081141808e-06,-4.73288103913109e-09,6.70854272131239e-12,-111.733718102077
108000,108,0.45238934211693,1.77192399728998e-06,-4.88510785132628e-09,3.13973851645081e-12,-115.031065193125
110000,110,0.460766922526503,9.06061375944158e-07,-4.98094385600374e-09,8.20972026779517e-13,-120.856716404716
112000,112,0.469144502936076,3.64987654592143e-09,-5.01682685912405e-09,3.84901505348958e-17,-164.146503903773
114000,114,0.477522083345649,-9.23324491816583e-07,-4.98990477601043e-09,8.52553016338026e-13,-120.692786047259
116000,116,0.485899663755221,-1.86221241935082e-06,-4.89810198235134e-09,3.46785908618746e-12,-114.599385580628
118000,118,0.494277244164794,-2.79988087327421e-06,-4.74017630809338e-09,7.83935537379821e-12,-111.057196476615
120000,120,0.502654824574367,-3.72290353412917e-06,-4.51576556149518e-09,1.38600311165701e-11,-108.582357947069
122000,122,0.51103240498394,-4.61775927539031e-06,-4.22542259727468e-09,2.13237185796494e-11,-106.711370577224
124000,124,0.519409985393512,-5.47103570728417e-06,-3.87063808731578e-09,2.99322466922176e-11,-105.238606841149
126000,126,0.527787565803085,-6.26963468697611e-06,-3.45385031240095e-09,3.9308331037216e-11,-104.055153951704
128000,128,0.536165146212658,-7.00097662581048e-06,-2.97844146759309e-09,4.90136825862582e-11,-103.096826660487
130000,130,0.544542726622231,-7.65320040168991e-06,-2.44872015942417e-09,5.8571482384657e-11,-102.323137842812
132000,132,0.552920307031804,-8.21535571176366e-06,-1.86988996781924e-09,6.74920729672963e-11,-101.707472326316
134000,134,0.561297887441376,-8.677584777417e-06,-1.24800414701182e-09,7.53004791267737e-11,-101.232022604334
136000,136,0.569675467850949,-9.03129043938198e-06,-5.89906744567909e-10,8.15642073484624e-11,-100.885003799869
138000,138,0.578053048260522,-9.26928785413374e-06,9.68393765764459e-11,8.59196973321692e-11,-100.659072615235
140000,140,0.586430628670095,-9.38593722134382e-06,8.04036924490778e-10,8.80958181694828e-11,-100.550447066733
142000,142,0.594808209079667,-9.37725523306475e-06,1.52295008632418e-09,8.79329180254172e-11,-100.55848514681
