"frequency_hz","frequency_khz","ka","f_bs_real_acousticts","f_bs_imag_acousticts","sigma_bs_acousticts","TS_acousticts","f_bs_real_echopop","f_bs_imag_echopop","sigma_bs_echopop","TS_echopop","f_bs_real_zooscatr","f_bs_imag_zooscatr","sigma_bs_zooscatr","TS_zooscatr"
12000,12,0.0502654824574367,-6.14715583277178e-07,7.35494811117304e-11,3.77875253733327e-13,-124.226515481967,-6.14715440301226e-07,7.35481792066043e-11,3.77875077954065e-13,-124.22651750221,-6.14715583277178e-07,7.35494811117241e-11,3.77875253733327e-13,-124.226515481967
14000,14,0.0586430628670095,-8.13127310147274e-07,1.14888524879647e-10,6.61176035706714e-13,-121.796828957977,-8.13127053314826e-07,1.14885768492565e-10,6.61175618031192e-13,-121.796831701486,-8.13127310147274e-07,1.14888524879635e-10,6.61176035706714e-13,-121.796828957977
16000,16,0.0670206432765822,-1.02717583552715e-06,1.68254224773763e-10,1.05509022540038e-12,-119.767104003492,-1.02717541293628e-06,1.68248978962869e-10,1.05508935724854e-12,-119.767107576965,-1.02717583552715e-06,1.6825422477388e-10,1.05509022540039e-12,-119.767104003492
18000,18,0.075398223686155,-1.25105901127954e-06,2.34408782855813e-10,1.56514870465121e-12,-118.054443938738,-1.25105836201753e-06,2.3439958872411e-10,1.56514708011715e-12,-118.054448446467,-1.25105901127954e-06,2.34408782855853e-10,1.56514870465121e-12,-118.054443938738
20000,20,0.0837758040957278,-1.47856992215907e-06,3.13769115912557e-10,2.18616911316454e-12,-116.603162458294,-1.47856897856501e-06,3.13754029682716e-10,2.18616632281636e-12,-116.603168001477,-1.47856992215907e-06,3.1376911591267e-10,2.18616911316454e-12,-116.603162458294
22000,22,0.0921533845053006,-1.70322092943899e-06,4.06385836469244e-10,2.90096169962847e-12,-115.37458004996,-1.70321962037078e-06,4.0636238968393e-10,2.90095724034639e-12,-115.374586725825,-1.70322092943899e-06,4.06385836469024e-10,2.90096169962847e-12,-115.37458004996
24000,24,0.100530964914873,-1.91837433739816e-06,5.11929225061955e-10,3.68016036045934e-12,-114.341332568305,-1.9183725924639e-06,5.11894414263978e-10,3.68015366555257e-12,-114.341340468949,-1.91837433739815e-06,5.11929225062164e-10,3.68016036045934e-12,-114.341332568305
26000,26,0.108908545324446,-2.11737734719652e-06,6.29682535758348e-10,4.48328722692108e-12,-113.484034366705,-2.1173751018683e-06,6.29632849965457e-10,4.48327771844931e-12,-113.484043577538,-2.11737734719652e-06,6.29682535758351e-10,4.48328722692108e-12,-113.484034366705
28000,28,0.117286125734019,-2.29369887588308e-06,7.58542855790883e-10,5.26105510861457e-12,-112.789271490217,-2.29369607737043e-06,7.58474349755687e-10,5.26104227062782e-12,-112.789282087851,-2.29369887588308e-06,7.58542855790809e-10,5.26105510861457e-12,-112.789271490217
30000,30,0.125663706143592,-2.44106577242382e-06,8.97029614579963e-10,5.95880290996124e-12,-112.248409788195,-2.44106238614557e-06,8.96938035207773e-10,5.95878637755252e-12,-112.248421837501,-2.44106577242382e-06,8.97029614579861e-10,5.95880290996124e-12,-112.248409788195
