frequency_hz,frequency_khz,ka,f_bs_real,f_bs_imag,sigma_bs,TS
12000,12.0,0.05026548245743669,-6.147154403012262e-07,7.354817920660425e-11,3.77875077954065e-13,-124.22651750220963
14000,14.0,0.05864306286700947,-8.131270533148264e-07,1.148857684925649e-10,6.611756180311924e-13,-121.7968317014861
16000,16.0,0.06702064327658225,-1.0271754129362802e-06,1.6824897896286871e-10,1.0550893572485368e-12,-119.76710757696543
18000,18.0,0.07539822368615504,-1.2510583620175301e-06,2.3439958872411017e-10,1.565147080117153e-12,-118.05444844646671
20000,20.0,0.08377580409572782,-1.4785689785650085e-06,3.1375402968271636e-10,2.1861663228163632e-12,-116.60316800147726
22000,22.0,0.0921533845053006,-1.7032196203707845e-06,4.0636238968393e-10,2.9009572403463905e-12,-115.37458672582538
24000,24.0,0.10053096491487339,-1.918372592463904e-06,5.118944142639782e-10,3.680153665552572e-12,-114.34134046894897
26000,26.0,0.10890854532444617,-2.117375101868298e-06,6.296328499654567e-10,4.4832777184493125e-12,-113.48404357753813
28000,28.0,0.11728612573401893,-2.293696077370425e-06,7.58474349755687e-10,5.261042270627815e-12,-112.78928208785115
30000,30.0,0.12566370614359174,-2.4410623861455655e-06,8.969380352077727e-10,5.958786377552523e-12,-112.24842183750096
32000,32.0,0.1340412865531645,-2.5535919750562085e-06,1.0431816816337915e-09,6.520833063299489e-12,-111.85696917813684
34000,34.0,0.1424188669627373,-2.6259215024258026e-06,1.195025363275097e-09,6.895465164987803e-12,-111.61436431188903
36000,36.0,0.15079644737231007,-2.653326105623964e-06,1.3499822679150686e-09,7.040141245237754e-12,-111.52418627589137
38000,38.0,0.15917402778188283,-2.63182906971112e-06,1.5052962658792003e-09,6.926526518093346e-12,-111.59484498750834
40000,40.0,0.16755160819145565,-2.5582993208521077e-06,1.6579856992040226e-09,6.544898163988933e-12,-111.84097106509978
42000,42.0,0.1759291886010284,-2.4305348627534836e-06,1.8048927447966317e-09,5.907502976697916e-12,-112.28596050861373
44000,44.0,0.1843067690106012,-2.247330501942672e-06,1.942737602275974e-09,5.050498159191293e-12,-112.96665782848123
46000,46.0,0.19268434942017398,-2.0085284646723047e-06,2.0681766647239683e-09,4.034190870753603e-12,-113.94243557745955
48000,48.0,0.20106192982974677,-1.7150507904892758e-06,2.1778637502590636e-09,2.941403957048404e-12,-115.31445327662348
50000,50.0,0.20943951023931953,-1.3689126905139559e-06,2.2685134054793162e-09,1.873927100403228e-12,-117.27247308063193
52000,52.0,0.21781709064889235,-9.73216377332645e-07,2.3369652397208103e-09,9.471555785150087e-13,-120.23578678503546
54000,54.0,0.2261946710584651,-5.321252029361556e-07,2.380248212651319e-09,2.831628971813986e-13,-125.47963652836133
56000,56.0,0.23457225146803787,-5.081827596282878e-08,2.395643777682115e-09,2.5882362809437686e-15,-145.86996079307042
58000,58.0,0.24294983187761068,4.6457393586318403e-07,2.3807467807455364e-09,2.1583460983864383e-13,-126.65878913421633
60000,60.0,0.25132741228718347,1.00705218328116e-06,2.3335230282239225e-09,1.0141595451810743e-12,-119.93893717447227
62000,62.0,0.25970499269675623,1.5688480404411815e-06,2.2523624694033314e-09,2.4612892471328283e-12,-116.08837345642115
64000,64.0,0.268082573106329,2.14153908333825e-06,2.136126987509261e-09,4.586194208503739e-12,-113.3854755843825
66000,66.0,0.2764601535159018,2.716177908008017e-06,1.984191858657059e-09,7.377626364968141e-12,-111.320833431105
68000,68.0,0.2848377339254746,3.2834330011909538e-06,1.7964800193448643e-09,1.0780935500650294e-11,-109.67343552215846
70000,70.0,0.2932153143350474,3.833739253189441e-06,1.5734883790550296e-09,1.4697559137311217e-11,-108.32754783701816
72000,72.0,0.30159289474462014,4.3574557141154805e-06,1.316305524564021e-09,1.8987422033137885e-11,-107.21533996441732
74000,74.0,0.3099704751541929,4.845028043993599e-06,1.0266202845438298e-09,2.3474297801033646e-11,-106.29407390145875
76000,76.0,0.31834805556376566,5.287152996990059e-06,7.06720755899496e-10,2.7953987313035186e-11,-105.53556236273381
78000,78.0,0.32672563597333854,5.674942212497835e-06,3.594835348797177e-10,3.220496924441823e-11,-104.92077111256891
80000,80.0,0.3351032163829113,6.000082562353002e-06,-1.1646955532484926e-11,3.600099075518822e-11,-104.43685547188535
82000,82.0,0.34348079679248406,6.254990324830266e-06,-4.0268899717262633e-10,3.912490412587866e-11,-104.07546713666655
84000,84.0,0.3518583772020568,6.432956522284177e-06,-8.091637666936825e-10,4.138293027234453e-11,-103.83178760744885
86000,86.0,0.36023595761162963,6.528280869669748e-06,-1.2261448275431514e-09,4.2618452616727145e-11,-103.70402322623141
88000,88.0,0.3686135380212024,6.536391934280586e-06,-1.6483164135190787e-09,4.2724422235475304e-11,-103.69323801553779
90000,90.0,0.3769911184307752,6.453951300777406e-06,-2.0700398442343422e-09,4.1653491677871344e-11,-103.80348587225448
92000,92.0,0.38536869884034797,6.278939767175389e-06,-2.4854272700770368e-09,3.942509077716525e-11,-104.04227298025019
94000,94.0,0.3937462792499207,6.010723863517571e-06,-2.8884218109268247e-09,3.612880970644016e-11,-104.421463463877
96000,96.0,0.40212385965949354,5.6501012815140315e-06,-3.2728830305054144e-09,3.192365520312983e-11,-104.95887388509692
98000,98.0,0.4105014400690663,5.1993241259857495e-06,-3.632676579437017e-09,2.7032984563396612e-11,-105.68106003585056
100000,100.0,0.41887902047863906,4.662099242584937e-06,-3.9617667464291195e-09,2.173518504330679e-11,-106.6283665807517
102000,102.0,0.4272566008882119,4.043565235664405e-06,-4.254310580276226e-09,1.6350437914232248e-11,-107.86470611126768
104000,104.0,0.4356341812977847,3.3502461597402267e-06,-4.504752187260832e-09,1.1224169623646406e-11,-109.49845778717312
106000,106.0,0.44401176170735746,2.5899822419356225e-06,-4.707915769886398e-09,6.7080301780127684e-12,-111.73404992262293
108000,108.0,0.4523893421169302,1.7718383651941078e-06,-4.859095955407285e-09,3.1394348031872323e-12,-115.03148531529035
110000,110.0,0.460766922526503,9.059914069722886e-07,-4.954143966082074e-09,8.208449730500636e-13,-120.85738857139164
112000,112.0,0.46914450293607574,3.59787970344765e-09,-4.989548208825683e-09,3.784032968867613e-17,-164.22045088407955
114000,114.0,0.47752208334564855,-9.233563481363254e-07,-4.962507909482807e-09,8.526115721284025e-13,-120.69248777157567
116000,116.0,0.48589966375522137,-1.8622221634687177e-06,-4.870998486141339e-09,3.4678951127403636e-12,-114.59934046330469
118000,118.0,0.4942772441647941,-2.799866787194865e-06,-4.7138274466085624e-09,7.839276246206092e-12,-111.05724031293656
120000,120.0,0.5026548245743669,-3.722864210333402e-06,-4.4906797057368706e-09,1.3859738094785565e-11,-108.58244976438795
122000,122.0,0.5110324049839396,-4.617693672343364e-06,-4.202151348609716e-09,2.1323112509675897e-11,-106.71149401563105
124000,124.0,0.5194099853935125,-5.470943202507609e-06,-3.849771012838792e-09,2.993123434580106e-11,-105.23875372751641
126000,126.0,0.5277875658030853,-6.269515126506021e-06,-3.4360082270573535e-09,3.930683172764035e-11,-104.05531960470302
128000,128.0,0.536165146212658,-7.000830368861974e-06,-2.964268219712893e-09,4.901163464046614e-11,-103.09700812617025
130000,130.0,0.5445427266222308,-7.653028359366189e-06,-2.4388729011299986e-09,5.856884901736415e-11,-102.32333310551502
132000,132.0,0.5529203070318036,-8.215159378691094e-06,-1.865027919524321e-09,6.748884709562538e-11,-101.70767990798967
134000,134.0,0.5612978874413763,-8.677366255253478e-06,-1.248775895511569e-09,7.5296686687253e-11,-101.23224133827213
136000,136.0,0.5696754678509492,-9.031052451235298e-06,-5.969361470543313e-10,8.155990873329584e-11,-100.88523268875362
138000,138.0,0.578053048260522,-9.269033749039462e-06,8.296857578006306e-11,8.591498664771631e-11,-100.65931073063933
140000,140.0,0.5864306286700948,-9.385670968086356e-06,7.827976214751822e-10,8.80908201339512e-11,-100.55069346671846
142000,142.0,0.5948082090796675,-9.376981402780068e-06,1.4938893097737106e-09,8.792778245978854e-11,-100.55873879618217
144000,144.0,0.6031857894892403,-9.240726972036866e-06,2.207168032180639e-09,8.539103984332033e-11,-100.6858769782103
146000,146.0,0.6115633698988131,-8.976477404691392e-06,2.913260287904393e-09,8.057715508402061e-11,-100.93788070195622
148000,148.0,0.6199409503083858,-8.585647148527844e-06,3.6026181990861503e-09,7.37133499378822e-11,-101.32453851634634
150000,150.0,0.6283185307179586,-8.071505078278324e-06,4.2656489028958846e-09,6.514921242443331e-11,-101.86090830017247
152000,152.0,0.6366961111275313,-7.439156483924353e-06,4.892848092386981e-09,5.5341073132276195e-11,-102.56952423602961
154000,154.0,0.6450736915371043,-6.6954972389330864e-06,5.474935873855583e-09,4.4829713251483396e-11,-103.48434039044017
156000,156.0,0.6534512719466771,-5.849140472325241e-06,6.0029930297280146e-09,3.4212480300918466e-11,-104.65815439642613
158000,158.0,0.6618288523562498,-4.910316492222275e-06,6.4685957228963826e-09,2.41112498965207e-11,-106.17780275765557
160000,160.0,0.6702064327658226,-3.890747125237736e-06,6.863946652964521e-09,1.513796030630937e-11,-108.19932637873613
162000,162.0,0.6785840131753953,-2.8034960392873975e-06,7.182000678186036e-09,7.859641623433868e-12,-111.0459725606154
164000,164.0,0.6869615935849681,-1.6627970007853375e-06,7.416582949504325e-09,2.7649488715233607e-12,-115.58312895108133
166000,166.0,0.6953391739945408,-4.838623747045271e-07,7.562497664557892e-09,2.3417998902563055e-13,-126.30450218687436
168000,168.0,0.7037167544041136,7.173254980994531e-07,7.615625641110857e-09,5.146138679775339e-13,-122.885185144627
170000,170.0,0.7120943348136863,1.924237122848655e-06,7.57300902857474e-09,3.702745855414616e-12,-114.31476095506268
172000,172.0,0.7204719152232593,3.1200297011968096e-06,7.432921623537916e-09,9.734640584674114e-12,-110.11680078553223
174000,174.0,0.728849495632832,4.2877886374194e-06,7.194923428051167e-09,1.838518316610605e-11,-107.35532039026944
176000,176.0,0.7372270760424048,5.410773175469064e-06,6.859898286356997e-09,2.927651341458007e-11,-105.33480645338014
178000,178.0,0.7456046564519777,6.472662541524921e-06,6.4300736541884926e-09,4.1895401722307036e-11,-103.77833640905212
180000,180.0,0.7539822368615504,7.457798920270675e-06,5.9090217923800615e-09,5.5618799651729e-11,-102.54778388184116
182000,182.0,0.7623598172711231,8.351423601919804e-06,5.3016419292476276e-09,6.97463042861103e-11,-101.56478799820269
184000,184.0,0.7707373976806959,9.139902701320933e-06,4.614123202696573e-09,8.353784267974663e-11,-100.78116744349558
186000,186.0,0.7791149780902686,9.810938969825354e-06,3.853888466847204e-09,9.62545383220941e-11,-100.1657878471009
188000,188.0,0.7874925584998415,1.035376639364216e-05,3.029519328042417e-09,1.072004877121011e-10,-99.69803238801902
190000,190.0,0.7958701389094143,1.0759324496982463e-05,2.150663055772232e-09,1.157630682567185e-10,-99.36429970924068
192000,192.0,0.8042477193189871,1.1020409541436716e-05,1.2279222910926257e-09,1.2144942796878258e-10,-99.1560452639682
194000,194.0,0.8126252997285598,1.113180013101509e-05,2.727287465926798e-10,1.239169742312485e-10,-99.06869199596136
196000,196.0,0.8210028801381326,1.1090355090674248e-05,-7.027976503370107e-10,1.2299597653116875e-10,-99.10109095055654
198000,198.0,0.8293804605477053,1.089508187987543e-05,-1.6860024743173788e-09,1.1870281201179429e-10,-99.25538992698822
200000,200.0,0.8377580409572781,1.0547174226113775e-05,-2.6638614586086556e-09,1.1124289125215657e-10,-99.53727732154698
