"frequency","ka_viscous","ka_shell","ka_gas","f_bs","sigma_bs","TS"
1000,0.0175737550827273,0.00427256600888212,0.00418879020478639,-7.89175438184878e-07-1.37224607359245e-06i,2.50585715872419e-12,-116.010436887074
2000,0.0351475101654545,0.00854513201776424,0.00837758040957278,-3.2045803037883e-06+5.50219969044757e-06i,4.05435363569892e-11,-103.920783732221
3000,0.0527212652481818,0.0128176980266464,0.0125663706143592,1.44541755776132e-05+9.32161779537327e-08i,2.08931880884301e-10,-96.7999528603348
4000,0.0702950203309091,0.0170902640355285,0.0167551608191456,-1.27901465080576e-05-2.26493595190833e-05i,6.76581334322268e-10,-91.6967998779643
5000,0.0878687754136363,0.0213628300444106,0.020943951023932,-2.1103787963881e-05+3.54766631920541e-05i,1.70396349766689e-09,-87.6853971293296
6000,0.105442530496364,0.0256353960532927,0.0251327412287183,6.05793218919018e-05+1.0286121062526e-06i,3.67091228374778e-09,-84.3522599281539
7000,0.123016285579091,0.0299079620621748,0.0293215314335047,-4.06112428083259e-05-7.39584959798288e-05i,7.11913217003515e-09,-81.4757294410695
8000,0.140590040661818,0.0341805280710569,0.0335103216382911,-5.91859285016109e-05+9.65065313562433e-05i,1.28164847270114e-08,-78.9223107567578
9000,0.158163795744545,0.0384530940799391,0.0376991118430775,0.000147755388005067+4.78808304339953e-06i,2.18545804237583e-08,-76.6045752691835
10000,0.175737550827273,0.0427256600888212,0.0418879020478639,-8.81065225836437e-05-0.000167439558318131i,3.57987650115528e-08,-74.4613195542091
11000,0.19331130591,0.0469982260977033,0.0460766922526503,-0.000128912855145895+0.000200759240861785i,5.69227970132666e-08,-72.4471376815235
12000,0.210885060992727,0.0512707921065854,0.0502654824574367,0.000297152366429267+1.68751312351223e-05i,8.85842989287157e-08,-70.5264324755864
13000,0.228458816075454,0.0555433581154675,0.0544542726622231,-0.000162123413377083-0.000330994478266892i,1.35841345808209e-07,-68.6696802443387
14000,0.246032571158182,0.0598159241243497,0.0586430628670095,-0.00025868003098648+0.000373604957720102i,2.06496022864206e-07,-66.8508830848585
15000,0.263606326240909,0.0640884901332318,0.0628318530717959,0.000556651391737512+5.53321527723277e-05i,3.1292241905373e-07,-65.0456332108987
16000,0.281180081323636,0.0683610561421139,0.0670206432765822,-0.000270497278472805-0.000634214231223094i,4.75396468747094e-07,-63.2294404854252
17000,0.298753836406364,0.072633622150996,0.0712094334813687,-0.000530891614116291+0.000668273912410491i,7.28435927947425e-07,-61.3760864205818
18000,0.316327591489091,0.0769061881598781,0.075398223686155,0.00104680015530897+0.00019414190151557i,1.13348164307897e-06,-59.4558550895084
19000,0.333901346571818,0.0811787541687603,0.0795870138909414,-0.000387148429354053-0.00128676044047712i,1.80563633752818e-06,-57.4336971388312
20000,0.351475101654545,0.0854513201776424,0.0837758040957278,-0.0012628789754659+0.0011739049858229i,2.97291622241366e-06,-55.2681732915904
21000,0.369048856737273,0.0897238861865245,0.0879645943005142,0.00208563313579895+0.000872249253641279i,5.11068433762033e-06,-52.9152094249678
