frequency,TS
1000,-116.00965706221646
2000,-103.92131717596273
3000,-96.80030544459822
4000,-91.69683865354303
5000,-87.68517169448765
6000,-84.35195999601099
7000,-81.47550385560032
8000,-78.92219771545786
9000,-76.60454076942797
10000,-74.46130837602738
11000,-72.44710352924284
12000,-70.52634846168462
13000,-68.66953764148545
14000,-66.85068503383272
15000,-65.0453877885574
16000,-63.22915548420758
17000,-61.37576659142099
18000,-59.45550155769198
19000,-57.43330821082815
20000,-55.26774580345358
21000,-52.91473995291965
22000,-50.35294819120578
23000,-47.693223255400845
24000,-45.49923055807051
25000,-44.86614944321403
26000,-45.8862651879369
27000,-47.46981793977664
28000,-48.975512597617545
29000,-50.25872171332377
30000,-51.32918869130505
31000,-52.22478664916281
32000,-52.981260705549865
33000,-53.62715017073529
34000,-54.18435820442265
35000,-54.66962169684925
36000,-55.09582581760451
37000,-55.47300479684783
38000,-55.80907046835105
39000,-56.110337654411666
40000,-56.38190460340002
41000,-56.62793115216801
42000,-56.85184454486987
43000,-57.05649364785468
44000,-57.24426594517417
45000,-57.41717736088883
46000,-57.576941992617904
47000,-57.725026806884394
48000,-57.86269493811032
49000,-57.99104024808742
50000,-58.11101510725563
51000,-58.223452863388516
52000,-58.32908610668514
53000,-58.42856158141071
54000,-58.522452404537056
55000,-58.61126811136045
56000,-58.69546294274006
57000,-58.77544270842549
58000,-58.8515704987916
59000,-58.924171468104035
60000,-58.99353687260725
61000,-59.059927513741314
62000,-59.12357670893571
63000,-59.184692888532936
64000,-59.243461896708176
65000,-59.300049056286724
66000,-59.35460104181523
67000,-59.40724759190986
68000,-59.45810308064757
69000,-59.507267958453774
70000,-59.55483006545481
71000,-59.60086581446482
72000,-59.64544123651086
73000,-59.68861287888935
74000,-59.73042854399098
75000,-59.770927856310465
76000,-59.81014264492718
77000,-59.8480971290393
78000,-59.884807894564894
79000,-59.92028365007524
80000,-59.95452475004414
81000,-59.987522472195195
82000,-60.01925803315491
83000,-60.049701322156615
84000,-60.07880932555064
85000,-60.10652420457618
86000,-60.13277097421222
87000,-60.15745471058493
88000,-60.180457186479835
89000,-60.201632796338764
90000,-60.22080357988807
91000,-60.23775308166279
92000,-60.252218683842464
93000,-60.26388190945128
94000,-60.27235599283877
95000,-60.27716972441762
96000,-60.27774614917053
97000,-60.27337405611442
98000,-60.26316921059737
99000,-60.24602073542705
100000,-60.2205155608693
101000,-60.184829755104204
102000,-60.136568546718166
103000,-60.07252450766167
104000,-59.988300734422985
105000,-59.87770247221734
106000,-59.7317129873704
107000,-59.5366813716616
108000,-59.27091591129322
109000,-58.89778491323608
110000,-58.350384761440196
111000,-57.49335125090967
112000,-56.016536268909846
113000,-53.248427734725084
114000,-54.12713511551207
115000,-67.47328772800853
116000,-74.13392520076505
117000,-69.19851030599558
118000,-67.05508698107083
119000,-65.93371417924484
120000,-65.2551347115176
121000,-64.80712792227482
122000,-64.49433470207677
123000,-64.26760643754368
124000,-64.09904109832554
125000,-63.971620126137424
126000,-63.87437091877365
127000,-63.799898422994936
128000,-63.74303437899819
129000,-63.70005526220636
130000,-63.66820793842471
131000,-63.6454105284841
132000,-63.63005742362915
133000,-63.62088853556811
134000,-63.61689944735774
135000,-63.61727834360713
136000,-63.621360909121954
137000,-63.62859754767218
138000,-63.63852921103216
139000,-63.65076934769235
140000,-63.664990265623814
141000,-63.68091271973853
142000,-63.698297880960325
143000,-63.71694108037974
144000,-63.73666688640715
145000,-63.757325189089485
146000,-63.77878804928872
147000,-63.80094713144036
148000,-63.82371158391321
149000,-63.8470062652089
150000,-63.870770240529744
